,School,Program,District,Longitude,Latitude,Cutoff,Quality,Size
1,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Kumasi Metro,-1.597187161,6.682059765,302,323.7248322,149
2,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Ho Municipal,0.52614224,6.717607021,301,331.55,40
3,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Kwabre (Mamponteng),-1.541420102,6.806778431,263,287.65,60
4,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Kassena/Nankani (Navrongo),-1.217440963,10.90942287,271,294.3,90
5,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Sekyere East (Effiduase),-0.844235957,7.210828781,291,307.975,40
6,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Accra Metropolitan,-0.197115257,5.607395649,388,404.9772727,88
7,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,East Gonja (Salaga),-0.5339396,8.729157448,239,268.7,50
8,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Nzema East (Axim),-2.311802149,5.141225815,241,268.65,60
9,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,East Akim (Kibi),-0.454344213,6.178557873,312,331.5555556,36
10,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Tamale,-0.784348249,9.383351326,290,312.25,100
11,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Lawra,-2.800941229,10.54639816,288,314.275,80
12,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Awutu/Efutu/Senya (Winneba),-0.508638918,5.544896126,238,266.9538462,65
13,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Tamale,-0.784348249,9.383351326,290,312.25,100
14,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Builsa (Sandema),-1.337494493,10.55707264,252,272.3,100
15,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Wassa West (Tarkwa),-1.988853216,5.276049137,271,290.65,40
16,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Tamale,-0.784348249,9.383351326,276,297.8,100
17,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Dangme West (Dodowa),0.512386501,5.786250591,287,311.875,40
